Grain,city_name,service_type,sub_service_type,footfalls
2023-04-01T00:00:00Z,Bangalore,GX,all,1315293
2023-04-01T00:00:00Z,Bangalore,GYM,all,1504540
2023-04-01T00:00:00Z,Bangalore,PLAY,all,215444
2023-04-01T00:00:00Z,Gurgaon,GX,all,511082
2023-04-01T00:00:00Z,Gurgaon,GYM,all,695403
2023-04-01T00:00:00Z,Gurgaon,PLAY,all,251727
2023-04-01T00:00:00Z,Hyderabad,GX,all,554848
2023-04-01T00:00:00Z,Hyderabad,GYM,all,883872
2023-04-01T00:00:00Z,Hyderabad,PLAY,all,99510
2023-04-01T00:00:00Z,Mumbai,GX,all,361602
2023-04-01T00:00:00Z,Mumbai,GYM,all,178690
2023-04-01T00:00:00Z,Mumbai,PLAY,all,106
2023-04-01T00:00:00Z,Others,GX,all,406520
2023-04-01T00:00:00Z,Others,GYM,all,410978
2023-04-01T00:00:00Z,Others,PLAY,all,1749
2023-07-01T00:00:00Z,Bangalore,GX,all,1488365
2023-07-01T00:00:00Z,Bangalore,GYM,all,1696100
2023-07-01T00:00:00Z,Bangalore,PLAY,all,271300
2023-07-01T00:00:00Z,Gurgaon,GX,all,548387
2023-07-01T00:00:00Z,Gurgaon,GYM,all,794927
2023-07-01T00:00:00Z,Gurgaon,PLAY,all,262477
2023-07-01T00:00:00Z,Hyderabad,GX,all,583118
2023-07-01T00:00:00Z,Hyderabad,GYM,all,1000958
2023-07-01T00:00:00Z,Hyderabad,PLAY,all,108022
2023-07-01T00:00:00Z,Mumbai,GX,all,368356
2023-07-01T00:00:00Z,Mumbai,GYM,all,214862
2023-07-01T00:00:00Z,Mumbai,PLAY,all,135
2023-07-01T00:00:00Z,Others,GX,all,408726
2023-07-01T00:00:00Z,Others,GYM,all,398070
2023-07-01T00:00:00Z,Others,PLAY,all,1259
2023-10-01T00:00:00Z,Bangalore,GX,all,1373374
2023-10-01T00:00:00Z,Bangalore,GYM,all,1682063
2023-10-01T00:00:00Z,Bangalore,PLAY,all,249337
2023-10-01T00:00:00Z,Gurgaon,GX,all,457953
2023-10-01T00:00:00Z,Gurgaon,GYM,all,762590
2023-10-01T00:00:00Z,Gurgaon,PLAY,all,157384
2023-10-01T00:00:00Z,Hyderabad,GX,all,561277
2023-10-01T00:00:00Z,Hyderabad,GYM,all,1063130
2023-10-01T00:00:00Z,Hyderabad,PLAY,all,90771
2023-10-01T00:00:00Z,Mumbai,GX,all,314042
2023-10-01T00:00:00Z,Mumbai,GYM,all,230766
2023-10-01T00:00:00Z,Mumbai,PLAY,all,192
2023-10-01T00:00:00Z,Others,GX,all,336536
2023-10-01T00:00:00Z,Others,GYM,all,384685
2023-10-01T00:00:00Z,Others,PLAY,all,730
2024-01-01T00:00:00Z,Bangalore,GX,all,1663162
2024-01-01T00:00:00Z,Bangalore,GYM,all,2208501
2024-01-01T00:00:00Z,Bangalore,PLAY,all,314479
2024-01-01T00:00:00Z,Gurgaon,GX,all,473258
2024-01-01T00:00:00Z,Gurgaon,GYM,all,843954
2024-01-01T00:00:00Z,Gurgaon,PLAY,all,138025
2024-01-01T00:00:00Z,Hyderabad,GX,all,668561
2024-01-01T00:00:00Z,Hyderabad,GYM,all,1262725
2024-01-01T00:00:00Z,Hyderabad,PLAY,all,97738
2024-01-01T00:00:00Z,Mumbai,GX,all,330092
2024-01-01T00:00:00Z,Mumbai,GYM,all,284023
2024-01-01T00:00:00Z,Mumbai,PLAY,all,90
2024-01-01T00:00:00Z,Others,GX,all,344058
2024-01-01T00:00:00Z,Others,GYM,all,368192
2024-01-01T00:00:00Z,Others,PLAY,all,496
2024-04-01T00:00:00Z,Bangalore,GX,all,1695188
2024-04-01T00:00:00Z,Bangalore,GYM,all,2390418
2024-04-01T00:00:00Z,Bangalore,PLAY,all,390807
2024-04-01T00:00:00Z,Gurgaon,GX,all,596558
2024-04-01T00:00:00Z,Gurgaon,GYM,all,1062955
2024-04-01T00:00:00Z,Gurgaon,PLAY,all,283938
2024-04-01T00:00:00Z,Hyderabad,GX,all,708060
2024-04-01T00:00:00Z,Hyderabad,GYM,all,1381910
2024-04-01T00:00:00Z,Hyderabad,PLAY,all,112767
2024-04-01T00:00:00Z,Mumbai,GX,all,355364
2024-04-01T00:00:00Z,Mumbai,GYM,all,307679
2024-04-01T00:00:00Z,Mumbai,PLAY,all,231
2024-04-01T00:00:00Z,Others,GX,all,354968
2024-04-01T00:00:00Z,Others,GYM,all,410231
2024-04-01T00:00:00Z,Others,PLAY,all,658
2024-07-01T00:00:00Z,Bangalore,GX,all,1736863
2024-07-01T00:00:00Z,Bangalore,GYM,all,2824051
2024-07-01T00:00:00Z,Bangalore,PLAY,all,383417
2024-07-01T00:00:00Z,Gurgaon,GX,all,623940
2024-07-01T00:00:00Z,Gurgaon,GYM,all,1123669
2024-07-01T00:00:00Z,Gurgaon,PLAY,all,270558
2024-07-01T00:00:00Z,Hyderabad,GX,all,717908
2024-07-01T00:00:00Z,Hyderabad,GYM,all,1621785
2024-07-01T00:00:00Z,Hyderabad,PLAY,all,100379
2024-07-01T00:00:00Z,Mumbai,GX,all,349239
2024-07-01T00:00:00Z,Mumbai,GYM,all,315436
2024-07-01T00:00:00Z,Mumbai,PLAY,all,291
2024-07-01T00:00:00Z,Others,GX,all,356434
2024-07-01T00:00:00Z,Others,GYM,all,433149
2024-07-01T00:00:00Z,Others,PLAY,all,719
2024-10-01T00:00:00Z,Bangalore,GX,all,1572045
2024-10-01T00:00:00Z,Bangalore,GYM,all,2677105
2024-10-01T00:00:00Z,Bangalore,PLAY,all,285161
2024-10-01T00:00:00Z,Gurgaon,GX,all,522594
2024-10-01T00:00:00Z,Gurgaon,GYM,all,1032040
2024-10-01T00:00:00Z,Gurgaon,PLAY,all,166349
2024-10-01T00:00:00Z,Hyderabad,GX,all,688891
2024-10-01T00:00:00Z,Hyderabad,GYM,all,1748273
2024-10-01T00:00:00Z,Hyderabad,PLAY,all,77962
2024-10-01T00:00:00Z,Mumbai,GX,all,310888
2024-10-01T00:00:00Z,Mumbai,GYM,all,292903
2024-10-01T00:00:00Z,Mumbai,PLAY,all,323
2024-10-01T00:00:00Z,Others,GX,all,307965
2024-10-01T00:00:00Z,Others,GYM,all,409925
2024-10-01T00:00:00Z,Others,PLAY,all,908
2025-01-01T00:00:00Z,Bangalore,GX,all,1771795
2025-01-01T00:00:00Z,Bangalore,GYM,all,3225181
2025-01-01T00:00:00Z,Bangalore,PLAY,all,314492
2025-01-01T00:00:00Z,Gurgaon,GX,all,520856
2025-01-01T00:00:00Z,Gurgaon,GYM,all,1111529
2025-01-01T00:00:00Z,Gurgaon,PLAY,all,139051
2025-01-01T00:00:00Z,Hyderabad,GX,all,732298
2025-01-01T00:00:00Z,Hyderabad,GYM,all,1983159
2025-01-01T00:00:00Z,Hyderabad,PLAY,all,84652
2025-01-01T00:00:00Z,Mumbai,GX,all,321258
2025-01-01T00:00:00Z,Mumbai,GYM,all,319832
2025-01-01T00:00:00Z,Mumbai,PLAY,all,183
2025-01-01T00:00:00Z,Others,GX,all,332643
2025-01-01T00:00:00Z,Others,GYM,all,450314
2025-01-01T00:00:00Z,Others,PLAY,all,1016
2025-04-01T00:00:00Z,Bangalore,GX,all,1771895
2025-04-01T00:00:00Z,Bangalore,GYM,all,3387936
2025-04-01T00:00:00Z,Bangalore,PLAY,all,324526
